(0,8341,123.753051757813)
(0,11003,198.691497802734)
(1,5510,96.9672012329102)
(1,8445,128.970932006836)
(1,9922,98.8521194458008)
(2,9082,151.23616027832)
(2,19191,48.6899909973145)
(2,715,90.6520690917969)
(3,10220,183.631530761719)
(3,6610,99.4491958618164)
(3,10099,113.623817443848)
(4,14842,86.9877548217773)
(4,10675,32.5530242919922)
(5,1844,173.139068603516)
(5,17566,137.575698852539)
(6,2937,196.606796264648)
(6,6041,38.6281661987305)
(7,19985,128.979766845703)
(7,11561,97.7201156616211)
(8,2050,145.574966430664)
(8,18783,79.2451477050781)
(9,14978,88.9079895019531)
(9,16789,122.719924926758)
(10,12552,152.252838134766)
(10,1858,105.469589233398)
(10,14671,154.628952026367)
(11,646,36.7294425964355)
(11,9086,191.922927856445)
(12,6486,196.508880615234)
(12,11904,188.203262329102)
(12,12444,140.040420532227)
(13,12583,145.946105957031)
(13,14496,136.566253662109)
(14,10410,44.1415328979492)
(14,15608,105.045166015625)
(14,4866,117.86442565918)
(15,9932,103.482353210449)
(15,13080,53.5686874389648)
(16,16455,111.701622009277)
(16,474,56.5467071533203)
(16,1931,52.7051200866699)
(17,10097,105.188896179199)
(17,19188,57.5288619995117)
(18,1961,126.329528808594)
(18,10861,65.8678207397461)
(19,8663,67.3509063720703)
(19,8237,139.989303588867)
(20,15909,123.546600341797)
(21,7717,74.8740310668945)
(21,17568,83.1027679443359)
(21,14242,153.628601074219)
(22,12116,95.2492904663086)
(22,11975,137.399307250977)
(22,4868,63.7189178466797)
(23,12191,39.3436584472656)
(23,12033,69.0137252807617)
(23,12515,120.267753601074)
(24,395,35.6427612304688)
(24,6631,185.265548706055)
(25,12083,72.8936538696289)
(25,18860,175.652648925781)
(26,13624,197.45393371582)
(26,5361,68.3758392333984)
(27,76,91.0956115722656)
(27,5337,43.4416847229004)
(28,18938,144.092987060547)
(28,437,179.543563842773)
(28,11085,71.5465698242188)
(29,5784,150.505157470703)
(29,830,37.6505889892578)
(29,3948,34.9888038635254)
(30,11891,131.29541015625)
(30,985,184.079360961914)
(31,11273,177.452926635742)
(31,2697,178.155380249023)
(31,3935,64.9471740722656)
(32,2760,99.2917022705078)
(33,18154,116.832138061523)
(33,1826,103.355606079102)
(33,4256,52.6143341064453)
(34,16630,60.8319320678711)
(34,18290,154.102767944336)
(35,12817,75.1349411010742)
(35,9525,198.249252319336)
(36,1202,110.06046295166)
(37,8889,76.5575714111328)
(37,4436,166.242523193359)
(38,12646,178.688446044922)
(38,404,40.0079078674316)
(38,9765,116.05591583252)
(39,9559,149.264038085938)
(39,16129,89.7849044799805)
(39,4265,63.5800590515137)
(40,7220,61.9576225280762)
(40,3702,158.141372680664)
(41,5546,187.157562255859)
(41,3824,190.422698974609)
(41,1688,66.9209442138672)
(42,2448,195.881912231445)
(42,16345,153.078308105469)
(43,14664,143.223037719727)
(43,15702,133.833297729492)
(43,13584,153.524780273438)
(44,3811,151.396377563477)
(44,7077,55.8256034851074)
(44,11422,182.460968017578)
(45,17030,75.6703186035156)
(45,8095,67.4118881225586)
(45,950,193.571975708008)
(46,7290,117.166465759277)
(46,19775,139.987548828125)
(46,4120,153.374450683594)
(47,18699,164.998718261719)
(47,5687,150.409103393555)
(47,7034,60.604736328125)
(48,17930,194.619552612305)
(49,1867,53.9259452819824)
(49,13377,165.624481201172)
(49,13771,176.117736816406)
(50,18499,148.742965698242)
(50,14768,142.588180541992)
(50,5543,124.18871307373)
(51,11780,115.063537597656)
(51,13858,165.627990722656)
(52,16379,86.3144760131836)
(52,13533,112.912635803223)
(53,13892,166.604568481445)
(53,15713,95.8600845336914)
(54,12952,117.115280151367)
(55,11066,176.321823120117)
(55,18259,146.523513793945)
(56,16927,147.877548217773)
(57,887,159.220230102539)
(58,6948,45.2219161987305)
(58,9287,186.001235961914)
(59,14398,90.5998764038086)
(59,1468,121.662605285645)
(60,7104,137.095825195313)
(60,15232,59.8298950195313)
(60,1668,103.162117004395)
(61,8978,91.8855285644531)
(61,16350,21.8988914489746)
(62,10040,119.474670410156)
(62,17664,150.927688598633)
(63,13203,87.4629135131836)
(63,11983,164.780151367188)
(63,17562,152.308700561523)
(64,3921,147.594863891602)
(64,6713,87.602783203125)
(64,9478,120.218353271484)
(65,1264,138.592956542969)
(65,17168,161.542724609375)
(66,17531,144.579544067383)
(66,18410,123.484336853027)
(66,14021,93.8516693115234)
(67,10574,152.532150268555)
(67,6589,106.988502502441)
(68,2718,171.171325683594)
(68,6463,113.606796264648)
(68,16203,146.745056152344)
(69,4426,147.782974243164)
(70,6986,156.751068115234)
(70,688,111.755386352539)
(71,14430,161.644714355469)
(71,452,68.5405502319336)
(71,3383,74.5840148925781)
(72,7443,75.7184829711914)
(72,15001,168.794891357422)
(73,4816,120.628379821777)
(73,476,102.112525939941)
(74,11676,153.87223815918)
(75,8883,98.1910705566406)
(76,27,91.0956115722656)
(76,9382,101.76586151123)
(76,5275,154.924850463867)
(77,8154,80.3437957763672)
(78,19600,143.298080444336)
(78,11519,144.053741455078)
(79,7030,115.786750793457)
(79,5408,162.035278320313)
(80,9170,140.596572875977)
(80,6200,179.730743408203)
(80,10426,90.0599365234375)
(81,18256,140.117126464844)
(81,11160,193.466690063477)
(81,14425,151.323776245117)
(82,8660,133.067276000977)
(82,12734,132.570861816406)
(82,6423,84.3860321044922)
(83,19847,158.822189331055)
(84,10519,51.2752685546875)
(84,19790,89.6222763061523)
(85,19821,117.540496826172)
(85,10706,130.329666137695)
(85,2802,99.8112640380859)
(86,16240,151.152191162109)
(86,6475,129.381820678711)
(86,15457,80.7773666381836)
(87,538,80.7367324829102)
(87,5502,196.960632324219)
(87,9985,158.20426940918)
(88,10929,137.552154541016)
(88,1369,143.857849121094)
(88,11663,189.935394287109)
(89,3298,144.530380249023)
(89,13040,110.80362701416)
(90,2216,164.226364135742)
(90,19618,135.281997680664)
(90,9670,140.275466918945)
(91,5602,121.467071533203)
(91,6369,126.137001037598)
(91,855,106.577980041504)
(92,9071,108.194076538086)
(92,1442,123.437698364258)
(92,19734,199.548355102539)
(93,7329,161.038833618164)
(93,15904,160.376205444336)
(93,4434,73.0323944091797)
(94,1435,70.3825302124023)
(95,18783,69.3005218505859)
(95,7524,178.670822143555)
(95,10499,139.508148193359)
(96,13497,173.103240966797)
(96,4410,147.659759521484)
(96,13793,182.434768676758)
(97,6311,72.1139678955078)
(97,15809,39.3285446166992)
(97,1452,93.0390701293945)
(98,9350,129.789291381836)
(98,11819,162.740737915039)
(98,17138,178.208557128906)
(99,5588,78.8855438232422)
(99,1515,163.054428100586)
(99,7517,149.809188842773)
(100,17674,58.9665946960449)
(100,1990,92.1688690185547)
(100,1050,55.3815727233887)
(101,7050,70.6747589111328)
(101,14467,91.8765258789063)
(101,19619,165.188995361328)
(102,10412,71.017936706543)
(103,6416,160.2998046875)
(103,10895,167.015747070313)
(103,7849,189.069488525391)
(104,8590,80.0332565307617)
(104,17439,118.452217102051)
(105,8515,137.992065429688)
(105,4559,196.737289428711)
(106,18681,132.762786865234)
(106,14785,162.005310058594)
(107,5272,97.17041015625)
(108,4319,151.816268920898)
(108,3832,81.9903259277344)
(108,8998,99.2176208496094)
(109,12242,105.513084411621)
(109,9464,115.104431152344)
(110,13689,146.695724487305)
(110,15829,167.082138061523)
(110,17867,148.061141967773)
(111,9879,171.460586547852)
(111,7868,166.27067565918)
(112,4227,167.614059448242)
(112,6218,186.713562011719)
(112,499,82.2673568725586)
(113,18356,171.969619750977)
(113,8447,89.796516418457)
(113,15425,106.874038696289)
(114,18178,176.42041015625)
(114,16114,76.1335525512695)
(114,9907,194.22395324707)
(115,10364,169.327224731445)
(115,2648,157.021606445313)
(116,12055,165.06184387207)
(117,17392,54.4785499572754)
(117,3923,156.263153076172)
(117,2798,178.72721862793)
(118,8231,198.647171020508)
(118,15588,141.734451293945)
(118,3047,112.337631225586)
(119,19121,117.670936584473)
(119,19555,113.773429870605)
(119,12480,74.6866149902344)
(120,4019,142.931671142578)
(120,14952,161.526672363281)
(121,12284,149.525192260742)
(121,146,75.9072189331055)
(122,1593,50.1330146789551)
(123,10310,55.6771926879883)
(123,5482,88.8635177612305)
(124,16936,72.1985702514648)
(125,18514,101.129600524902)
(125,1758,45.0928726196289)
(126,11602,184.693405151367)
(126,6183,155.067291259766)
(127,5305,163.034103393555)
(127,8934,97.8901214599609)
(128,13037,167.126754760742)
(128,15470,77.5816421508789)
(129,5507,169.888168334961)
(130,12520,92.5258483886719)
(130,5901,179.315032958984)
(131,3706,164.738006591797)
(131,12372,58.7989273071289)
(131,14588,170.243041992188)
(132,2398,132.003005981445)
(133,7880,149.443496704102)
(133,11914,15.0105571746826)
(134,2724,72.0248947143555)
(134,12821,81.414176940918)
(134,1351,52.2105598449707)
(135,16198,154.285614013672)
(135,14348,166.815048217773)
(136,18302,144.026473999023)
(137,13062,115.678604125977)
(137,12872,183.383911132813)
(137,14630,104.318077087402)
(138,18949,61.208324432373)
(138,6009,109.31071472168)
(138,1959,123.551536560059)
(139,16617,88.0284423828125)
(140,9600,111.081512451172)
(140,14541,175.283599853516)
(141,7685,128.263656616211)
(141,3410,88.1800231933594)
(141,13516,62.7145881652832)
(142,13127,186.183013916016)
(142,7530,144.334030151367)
(142,9596,98.4477996826172)
(143,19605,138.508010864258)
(143,12840,130.113754272461)
(143,2374,114.03150177002)
(144,13966,109.84513092041)
(145,13630,73.1874923706055)
(145,18682,122.21785736084)
(146,1589,150.820007324219)
(146,121,75.9072189331055)
(146,15573,99.5822830200195)
(147,10594,149.734741210938)
